session_id,genderidentity,raceomb_002,D_biep.White_Good_all,Mn_RT_all_3467,edu,politicalid_7,STATE,att_7,tblacks_0to10,twhites_0to10,labels
2631937365.0,[1],6.0,0.7844506040000001,929.3083332999997,4.0,6.0,MA,4.0,10.0,10.0,1.0
2631937366.0,[2],6.0,0.71875955,1029.508333,8.0,5.0,IL,5.0,8.0,8.0,2.0
2631937393.0,[1],6.0,0.744109115,685.225,8.0,2.0,NY,6.0,8.0,9.0,2.0
2631937441.0,[2],6.0,-0.900440947,1423.233333,12.0,7.0,TX,4.0,5.0,6.0,2.0
2631937457.0,[1],6.0,0.075028147,689.6416667000003,3.0,3.0,,5.0,8.0,8.0,1.0
2631937473.0,[2],7.0,0.474172589,693.7583333,7.0,7.0,NY,1.0,8.0,1.0,1.0
2631937556.0,[2],7.0,0.227812092,933.7083332999997,7.0,7.0,NY,4.0,5.0,3.0,2.0
2631937569.0,[2],,1.03438365,1261.2,9.0,7.0,WY,4.0,8.0,8.0,2.0
2631937604.0,[1],6.0,0.731631048,2091.083333,9.0,7.0,MD,4.0,9.0,5.0,1.0
2631937620.0,[2],5.0,0.16896124199999998,1114.841667,2.0,4.0,,3.0,7.0,5.0,1.0
2631937639.0,[2],6.0,0.774472149,835.3333332999997,4.0,4.0,,4.0,10.0,10.0,1.0
2631937640.0,[1],6.0,-0.178202995,884.5166667000003,9.0,7.0,MA,5.0,7.0,8.0,1.0
2631937641.0,[2],6.0,0.69148731,675.2,11.0,5.0,IN,5.0,7.0,8.0,1.0
2631937682.0,[2],6.0,0.93023775,1340.183333,14.0,7.0,MA,4.0,5.0,5.0,2.0
2631937699.0,[1],,0.098185386,831.025,9.0,7.0,OR,4.0,7.0,7.0,2.0
2631937700.0,[2],6.0,-0.072945725,808.2166667,13.0,5.0,CA,4.0,9.0,9.0,2.0
2631937718.0,[2],8.0,0.291388311,810.0833332999997,3.0,4.0,,4.0,7.0,7.0,2.0
2631937729.0,[1],,0.456225525,864.775,12.0,2.0,NJ,4.0,5.0,6.0,2.0
2631937762.0,[2],6.0,0.48609559399999996,637.9666667,5.0,6.0,VA,4.0,5.0,5.0,2.0
2631937794.0,[2],6.0,0.776149746,1061.283333,5.0,7.0,ME,4.0,8.0,8.0,1.0
2631937820.0,[2],6.0,0.243633166,769.325,9.0,6.0,CO,5.0,8.0,8.0,1.0
2631937830.0,[2],6.0,1.386248275,1931.2,7.0,4.0,FL,5.0,6.0,7.0,2.0
2631937858.0,[1],,-0.286798982,1197.833333,,,,4.0,5.0,5.0,1.0
2631937872.0,[2],6.0,0.5237716689999999,1067.016667,8.0,6.0,IN,4.0,7.0,8.0,1.0
2631937888.0,[2],6.0,0.044368428,1093.166667,6.0,,CO,5.0,7.0,4.0,2.0
2631937895.0,[1],6.0,0.247940167,1012.491667,9.0,6.0,OH,4.0,4.0,6.0,2.0
2631937909.0,[1],6.0,0.584282251,899.825,7.0,5.0,,5.0,3.0,7.0,1.0
2631937910.0,[2],5.0,-0.305783536,705.9333333,9.0,2.0,IN,1.0,10.0,10.0,1.0
2631937938.0,[2],7.0,0.256195763,951.5666667000003,3.0,6.0,NY,1.0,9.0,2.0,2.0
2631937939.0,[2],,1.102088113,1496.25,,1.0,,7.0,3.0,8.0,1.0
2631937958.0,[1],6.0,0.7454419520000001,983.6,7.0,2.0,,5.0,9.0,9.0,1.0
2631937961.0,[1],6.0,0.564275885,1070.175,3.0,6.0,,4.0,8.0,8.0,1.0
2631937970.0,[2],6.0,0.29617061,1151.833333,7.0,7.0,LA,5.0,7.0,8.0,2.0
2631937977.0,[2],8.0,-0.037962777,761.775,3.0,7.0,,4.0,6.0,5.0,2.0
2631937980.0,[2],2.0,-0.47390028700000003,896.5416667000003,2.0,,MA,4.0,5.0,5.0,1.0
2631937984.0,[1],6.0,0.636842162,1275.95,3.0,1.0,,4.0,5.0,5.0,1.0
2631938035.0,[2],6.0,0.962251968,829.7416667,4.0,5.0,,4.0,5.0,5.0,2.0
2631938041.0,[2],6.0,0.612324188,958.2333332999999,8.0,6.0,,3.0,8.0,7.0,1.0
2631938047.0,[2],6.0,-0.126892731,642.7416667,5.0,4.0,VT,4.0,5.0,5.0,2.0
2631938076.0,[1],6.0,0.92589886,818.2333332999997,7.0,2.0,,4.0,5.0,5.0,1.0
2631938114.0,[2],6.0,0.496291469,859.1333332999999,9.0,6.0,IN,6.0,8.0,9.0,1.0
2631938125.0,[1],6.0,0.664157718,768.5916667,5.0,7.0,,4.0,9.0,10.0,2.0
2631938132.0,[1],8.0,0.8809224240000001,1237.141667,7.0,5.0,,4.0,8.0,8.0,1.0
2631938136.0,[2],6.0,0.32459447,1030.266667,5.0,7.0,PA,5.0,5.0,5.0,2.0
2631938155.0,[2],3.0,0.025498853,1301.05,7.0,6.0,MA,4.0,8.0,8.0,2.0
2631938160.0,[2],6.0,0.335661741,1016.1833330000001,8.0,5.0,MO,4.0,8.0,8.0,2.0
2631938198.0,[2],6.0,0.347598466,1671.8,8.0,6.0,CO,4.0,8.0,8.0,1.0
2631938246.0,[2],6.0,0.581758665,754.4166667000003,7.0,7.0,,4.0,6.0,4.0,2.0
2631938316.0,[2],6.0,0.094473359,996.425,9.0,7.0,MA,4.0,9.0,8.0,1.0
2631938324.0,[1],8.0,0.614773295,1015.475,9.0,6.0,NC,4.0,6.0,7.0,2.0
2631938332.0,[1],8.0,0.026462384,996.1833332999997,3.0,5.0,,4.0,9.0,9.0,1.0
2631938343.0,[2],6.0,0.391984262,879.8833332999999,7.0,4.0,RI,4.0,10.0,10.0,2.0
2631938354.0,[1],6.0,0.355243866,738.3416667,8.0,4.0,IN,7.0,10.0,10.0,1.0
2631938387.0,[2],6.0,0.989387279,655.575,9.0,5.0,NC,4.0,5.0,4.0,2.0
2631938405.0,[1],5.0,0.7841727609999999,1643.783333,7.0,5.0,FL,3.0,6.0,6.0,2.0
2631938421.0,[1],6.0,-0.010685005,900.1416667000003,11.0,6.0,WI,5.0,6.0,7.0,1.0
2631938426.0,[1],6.0,0.488082333,2281.175,14.0,2.0,MO,4.0,4.0,5.0,2.0
2631938432.0,[2],6.0,-0.374265364,702.9583332999997,9.0,7.0,WA,3.0,8.0,7.0,2.0
2631938451.0,[1],6.0,0.6025595429999999,881.3333332999997,8.0,6.0,,5.0,9.0,9.0,2.0
2631938475.0,[2],8.0,0.500252632,761.175,5.0,1.0,TX,3.0,5.0,5.0,2.0
2631938482.0,[2],2.0,0.36358919799999995,1523.658333,4.0,2.0,PA,4.0,10.0,10.0,2.0
2631938494.0,[2],6.0,-0.037418125,883.1833332999997,5.0,3.0,TX,4.0,8.0,9.0,2.0
2631938501.0,[1],6.0,0.35105175899999996,1106.683333,3.0,6.0,FL,4.0,8.0,8.0,2.0
2631938502.0,[2],5.0,-0.6314465229999999,692.4166667000003,5.0,7.0,LA,2.0,10.0,8.0,1.0
2631938533.0,[1],6.0,0.20945022,1531.516667,7.0,5.0,,4.0,8.0,8.0,2.0
2631938553.0,[1],,0.451421093,899.9166667000003,6.0,4.0,,4.0,8.0,8.0,2.0
2631938576.0,[1],6.0,-0.215830275,644.0166667000002,8.0,4.0,NY,4.0,10.0,10.0,1.0
2631938593.0,[2],6.0,0.858707826,895.0,9.0,6.0,NY,4.0,5.0,5.0,2.0
2631938608.0,[1],,-0.270063558,1360.008333,,,,4.0,5.0,5.0,1.0
2631938609.0,[1],8.0,-0.43134091,1046.058333,7.0,6.0,TX,4.0,5.0,5.0,1.0
2631938636.0,[2],6.0,0.582622438,662.9416667,9.0,7.0,AK,4.0,5.0,5.0,1.0
2631938648.0,[2],6.0,0.595244915,785.5666667,13.0,3.0,VA,6.0,5.0,7.0,1.0
2631938669.0,[2],4.0,-0.384707611,865.2583332999999,9.0,6.0,WA,2.0,10.0,4.0,1.0
2631938671.0,[2],3.0,-0.035577885,695.725,,7.0,,4.0,5.0,5.0,1.0
2631938689.0,[2],6.0,0.566989746,628.4666667,10.0,6.0,CA,5.0,7.0,8.0,2.0
2631938690.0,[2],8.0,-0.226147333,731.3083333,3.0,7.0,CT,4.0,5.0,5.0,1.0
2631938707.0,[2],2.0,0.292945821,777.1166667,3.0,7.0,,4.0,7.0,7.0,1.0
2631938713.0,[1],6.0,0.532132692,933.2666667000001,5.0,2.0,CA,4.0,5.0,5.0,1.0
2631938742.0,[2],6.0,0.521271534,1270.658333,7.0,7.0,NC,4.0,7.0,4.0,2.0
2631938804.0,[2],6.0,0.458185994,1147.175,8.0,6.0,MD,2.0,10.0,8.0,1.0
2631938805.0,[2],6.0,0.78556592,1189.35,12.0,6.0,CA,4.0,5.0,5.0,1.0
2631938814.0,[1],6.0,0.924978449,1126.058333,13.0,4.0,PA,4.0,9.0,9.0,1.0
2631938864.0,[1],6.0,0.5179314660000001,935.55,8.0,3.0,PA,5.0,7.0,7.0,1.0
2631938883.0,[2],6.0,-0.077575265,812.1333333,12.0,4.0,RI,4.0,5.0,5.0,1.0
2631938925.0,[2],7.0,0.182515415,796.5333333,3.0,7.0,CT,5.0,5.0,5.0,1.0
2631938957.0,[2],6.0,0.685121869,663.8583332999998,5.0,4.0,TX,4.0,10.0,10.0,2.0
2631938960.0,[2],5.0,-0.26359405,1381.975,9.0,7.0,LA,3.0,10.0,8.0,1.0
2631939034.0,[2],1.0,-0.536548873,688.9333333,9.0,7.0,CA,4.0,9.0,9.0,2.0
2631939096.0,[1],6.0,0.946397087,765.0916667,5.0,6.0,WI,5.0,8.0,8.0,2.0
2631939117.0,[1],5.0,-0.063806763,858.9666667000001,10.0,6.0,LA,1.0,7.0,3.0,2.0
2631939123.0,[1],2.0,-0.170339338,841.4416667000003,11.0,4.0,VA,5.0,5.0,8.0,2.0
2631939131.0,[2],6.0,0.327212022,749.4,4.0,6.0,MN,5.0,7.0,8.0,1.0
2631939159.0,[2],,-0.06445055200000001,732.1416667000003,,6.0,,4.0,10.0,10.0,2.0
2631939162.0,[2],3.0,0.377238766,1041.166667,11.0,6.0,CA,4.0,10.0,6.0,2.0
2631939177.0,[2],6.0,0.262572543,880.8333332999997,4.0,6.0,AZ,4.0,10.0,10.0,2.0
2631939194.0,[2],6.0,0.359206541,1115.941667,6.0,5.0,CA,3.0,10.0,10.0,2.0
2631939253.0,[2],5.0,0.431629386,1199.791667,8.0,4.0,LA,4.0,5.0,5.0,2.0
2631939275.0,[2],6.0,-0.21436091300000001,1000.625,9.0,6.0,MI,5.0,8.0,7.0,2.0
2631939303.0,[2],2.0,1.0355635109999999,902.9666667000001,7.0,4.0,CA,5.0,4.0,5.0,1.0
2631939306.0,[2],,0.09882490599999999,695.5416667000003,4.0,6.0,,4.0,7.0,7.0,1.0
